0	0	this book led me down the road of jesus' death and i thought it could have done a better job. it told too much detail about the backround of the story and i found it misleading and tiring
3	3	This was really interesting and not hard to read. Enjoyed the information and laughs
0	0	Triple bottom line (3BL) accounting promises to keep score of "people, profits, and planet" -- meaning that it enables a company to measure not only its financial results, but also its environmental, and social impact as well. It is, to be sure, a very good idea for companies to pay attention to their impact on the environment and to the contribution they make to their community and to society at large. And in business, what gets measured gets done -- so what is not to like about triple bottom line thinking? At one level, there is nothing not to like. It is a minor fad and a fairly low nuitrition fad at that. There is nothing wrong with the occassional bite of ice cream -- but that hardly recommends it as a diet. There are two problems with 3BL, and this book glosses over or ignores both of them. The first problem is one of measurement. We can measure financial result with standard accounting tools. This is not pure science and as with any performance measurement system, some people cheat -- but we know what cheating is and what results we are trying to measure. Moreover, we have a common unit of currency -- money. There is no comparable way to measure environmental or social impact. Quick example: a company that is passionate about its 3BL principles recently explained to me how they were avoiding dumping excess product into landfill by donating it to needy Africans. They proudly gave themselves environmental credit for avoided landfill and social credit for a donation. Problem is, the Africans don't want this stuff, so they dump it in their own landfills. The program is completely wasteful, but the company tells its employees and customes that it is a 3BL business. Social and environmental accounting are in any case not new. The Global Reporting Initiative (GRI), the SA 8000 from Social Accountability International, the AA 1000 from AccountAbility, as well as parts of various ISO standards are all efforts by international agencies or accounting firms to report non-economic aspects of company behavior. 3BL contributes nothing to this beyond packaging -- and occassionally misleading packaging at that. Andy Savitz seems like a capable and well-meaning guy. But his book is built on a caricature of the corporation as a greedy, self-interested monolith. Unfortunately, the new thinking he brings to 3BL isn't very good -- and the good thinking isn't very new
1	1	First, my background: I am not a mathematician, but an academic with fair knowledge of college math and even some advanced materials. I do greatly enjoy reading books about mathematics and mathematicians. This book is obviously a work of great effort by the author. My difficulty probably came from the work's ambitious premise: offering mathematical and biographical history of Hilbert's problems. There are simply too many ideas and persons (some well known, others a bit obscure to lay reader like myself) to cover in one book. The author dutifully and honestly gives references to his sources. My impression is that the author collected as much material as he could about each problem and solvers, and tried to squeeze the information as compactly as possible into the pages. The result: the narrative is very methodically told - explanation of the problem, some necessary ideas introduced, who the major solvers were, then a short biography of each solver, when and where they were born, who their parents were, where they went to school, who they married and so on; then another cycle begins. Halfway into the book, I began to get bored. I can imagine mathematicians enjoying a quick review of and glimpses into their discipline and heroes, but lay readers much beware. I recommend lay readers to check out a few pages carefully online or at your local library to see whether you like it. I certainly didn't hate it but did not like it as much as I expected
0	0	Save your money and leave this book on the shelf. This guide to summer programs is disorganized and unclear. Moreover, most of the information is duplicated in its heftier sibling, Peterson's &quot;Summer Opportunities for Kids and Teenagers&quot;
3	3	This book may not be suited for beginners. It's a great addition to your arsenals if you are an advanced student majoring in Control systems or working in an industry with feedback control design emphasis. The added software is great for hands-on practical problem solving technique.
4	4	Gingerbread Baby is a twist on the traditional story of "The Gingerbread Boy." Matti and his mother follow the recipe to bake a gingerbread boy, but when Matti opens the oven too early a gingerbread baby jumps out instead. As the gingerbread boy does in the original story, the gingerbread baby runs away and is chased through the town by the townspeople and animals. However, in this version, instead of the Gingerbread Baby being eaten by a fox, Matti stays home baking a gingerbread house for the Gingerbread Baby to run into. Children will enjoy lifting the flap on the last page and seeing the Gingerbread Baby inside his house. This book would be appropriate for children ages 5 through 8. Children in this age group enjoy hearing make-believe stories involving talking animals or toys or, in this case, talking cookies! I think young children especially will be happy that in this version the Gingerbread Baby does not get eaten by the fox in the end. I recommend sharing this story with children for enjoyment at Christmastime. Jan Brett's illustrations are beautiful and cover every inch of the page. The authenticity of the drawings of the Swiss village and the townspeople is stunning. Each image is drawn with exquisite detail. The illustrated borders on each page, which give the appearance of being made out of cookie dough and icing, picture additional scenes related to the events unfolding in the story inside Gingerbread Baby shaped cutouts. The eye-catching endpapers round out the beauty of the book as a whole.
4	4	Sir George is a parsimonious, mean-spirited man who cares more about his cat Samson than he does his three daughters. The cat, a mean old Tom who scratches everyone except for Sir George has been missing for two days putting his master in a fouler mood than usual. Sir George wakes up quickly when he hears Samson outside and goes to find him. Someone smashes him on his head killing him. Since Sir George was the cousin of Queen Victoria, his case is very high profile so Scotland Yard assigns it to Inspector Gerald Witherspoon who has a phenomenal successor rate in solving homicides. Neither Witherspoon nor his supervisors know that his housekeeper Mrs. Jeffries and the other servants of his house work behind the scenes to help their master solve his cases. This inquiry is harder than most as everyone has a motive for killing the baronet, including his three daughters, his ex-lover, the gardener the housekeeper, and trades people he cheated out of money. This is one historical mystery series that never gets boring or dull. The author keeps the series fresh by making each homicide case original. Lovers of late Victorian mysteries will thoroughly enjoy this tale because Inspector Witherspoon comes across as so innocent and naïve that readers will adore him. Emily Brightwell is an author whose mysteries are well worth reading. Harriet Klausner
0	0	What trash! What a paranoid book! A true work of tendentious and speculative fiction disguised as an essay. No wonder that Amazon stands ready to sell this book for $0.35! Even then, it's a quarter and a half wasted. No wonder also that warmongers Paul Wolfowitz and Richard Perle gave it a note of thanks. It reads like their own propaganda in their conspiracy to take over American foreign policy and steer it to Israel's favor. But the Mylroie-Wolfowitz-Perle cabal DID succeed in having the U.S. attack Iraq. This only shows the tremendous importance of propaganda and the strength of the pro-Israel lobby. Nazi Joseph Goebbels, Hitler's minister of propaganda, would be proud of Laurie Mylroie, since he once said: "If you tell a lie big enough and keep repeating it, people will eventually come to believe it."
4	4	if your interested in a healthy diet, of any type, this book is a MUST. for those already or considering vegetarianism, i have not yet found anything that compares. this book focuses on the "How to be healthy" and leaves preaching (in things one may or may not agree with) aside, so it is an awesome source for everyone. omnivores and veggie/vegans (health, AR, environmentalist or any mix) will feel comfortable reading and reaping the benefits from this book. in depth but easy to understand explanations of basic dietary needs, info from many studies, and how to make the most of this info in one's everyday eating habits. it takes time to explain the macronutrients (to include protein requirements and essential amino acid intake), individual minerals and vitamins, essential fatty acids and more. a book that i'm extremely pleased to have come across and to have in my library
4	4	I had never heard of The Borowitz Report until a couple of days ago, when a girl in my dorm showed me this book. I opened it up to a random page and saw the headline "Bush May Lack Gene For Human Speech." I started giggling as I read the piece and by the end of it I was laughing hysterically. This happened again and again as I flipped through the book until I realized I was laughing out loud on every page. No book has ever made me done that before. (As for my TV viewing habits, I am a huge fan of The Daily Show and this book is right up there with it.) The book is based on a daily e-newsletter called The Borowitz Report which I have now signed up to receive every day. If the guy can manage to write columns each day that are as funny as the ones in this book, I don't know how he does it. This book is at the very top of my list of recommendations. You won't be sorry you got it
1	1	This book is divided into chapters with different religio-social related themes such as "God", "money", "Power", "Love" etc. For each theme, the author presents a few movies relating to it. It didn't take long to realize that Higgins is a liberal Christian who seems more concerned with political ideologies than the salvation of souls. The values promoted are Christian to a degree but only those that overlap with modern liberalism. Higgins got annoying fast by constantly criticizing the Church (which I think he means Evangelical Christians) though he doesn't name names. And the reason for the criticism is that they don't uphold the 'true message' of Christianity which is that even more annoying buzz word 'social justice' and liberal ethics in general. Higgins uses the typical method of judging the 'Church' for judging other's behaviors as sinful. The subtitle "Finding Spiritual Fingerprints in Culturally Significant Films" itself is somewhat disturbing. The movie industry is the last place we should hope to find much true spirituality. It is overridden with everything contrary to Christianity. Saying that some of these movies have the fingerprints of God (I know he doesn't actually say that, but its implied) is to overlook the other prevalent messages in these movies that are ungodly to the core. Even a small amount of arsenic in a glass of water is deadly. So even though I do watch movies, I am very cautious to see much holiness in them. For as much as I didn't like the book, it did introduce me to some new movies which I have now watched and enjoyed.
1	1	Although the book was extremely detailed and thorough, it made me realize that it is impossible to prepare for this exam from this book alone.
3	3	Out of the despair of a young woman needing guidance and affirmation for her existence, MY SOUL TO HIS SPIRIT is born. Melda Beaty longed for the type of love that tells a young girl she has worth, beauty and unlimited potential. For a male love that is disconnected from possession, obsession or penetration; love that only a father can give. Never knowing that magnitude of love, she harbored ill feelings for her father. Traumatized since she was a little girl, her nightmares ended only after she became a woman with a legitimate voice, and truly forgave her father. Since her atonement, Ms. Beaty has been blessed to meet and share stories with other Black women with similar histories of overwhelming father-daughter relationships. Relationships that more often than not, define how we relate to the men in our lives. MY SOUL TO HIS SPIRT speaks of the totality of our lives as black women and the full spectrum of kinship with our fathers. MY SOUL TO HIS SPIRIT does not bash fathers, however, it does present a penetrating view from every possible angle. The six powerful chapters, Loving: Daddy's Girl; Distant: Every Once in Awhile; Abandon: One Day He Was Gone; Non-Existent: Could Pass Me on the Street; Amended: Time and Forgiveness Heals All Wounds; and Deceased: Gone Too Soon, cover the gamut of emotions daughters have felt for fathers. I applaud Ms. Beaty and all the daughters who contributed to this book of healing and strengthening for the family unit. I venture to say each reader will be familiar with at least one of the offerings. This is a humbling read; an epiphany. Reviewed by aNN of The RAWSISTAZ Reviewers
